target_text,normalized_kana,datasets_scanned,native_reference_count,count_bucket,native_speakers,native_wav_paths,learner_speakers,status
うっとうしい,ウットーシイ,JANON;JVS_parallel100,4,3-5,jpf1;jpf2;jpm1;jpm2,JANON/audio/jpf1/isolated/jpf1_i63.wav;JANON/audio/jpf2/isolated/jpf2_i63.wav;JANON/audio/jpm1/isolated/jpm1_i63.wav;JANON/audio/jpm2/isolated/jpm2_i63.wav,chf1;enf1,sufficient_for_multi_reference
がっしり,ガッシリ,JANON;JVS_parallel100,4,3-5,jpf1;jpf2;jpm1;jpm2,JANON/audio/jpf1/isolated/jpf1_i99.wav;JANON/audio/jpf2/isolated/jpf2_i99.wav;JANON/audio/jpm1/isolated/jpm1_i99.wav;JANON/audio/jpm2/isolated/jpm2_i99.wav,chf1;enf1,sufficient_for_multi_reference
さっさと,サッサト,JANON;JVS_parallel100,4,3-5,jpf1;jpf2;jpm1;jpm2,JANON/audio/jpf1/isolated/jpf1_i98.wav;JANON/audio/jpf2/isolated/jpf2_i98.wav;JANON/audio/jpm1/isolated/jpm1_i98.wav;JANON/audio/jpm2/isolated/jpm2_i98.wav,chf1;enf1,sufficient_for_multi_reference
ばっちり,バッチリ,JANON;JVS_parallel100,4,3-5,jpf1;jpf2;jpm1;jpm2,JANON/audio/jpf1/isolated/jpf1_i74.wav;JANON/audio/jpf2/isolated/jpf2_i74.wav;JANON/audio/jpm1/isolated/jpm1_i74.wav;JANON/audio/jpm2/isolated/jpm2_i74.wav,chf1;enf1,sufficient_for_multi_reference
オイル,オイル,JANON;JVS_parallel100,4,3-5,jpf1;jpf2;jpm1;jpm2,JANON/audio/jpf1/isolated/jpf1_i77.wav;JANON/audio/jpf2/isolated/jpf2_i77.wav;JANON/audio/jpm1/isolated/jpm1_i77.wav;JANON/audio/jpm2/isolated/jpm2_i77.wav,chf1;enf1,sufficient_for_multi_reference
バグ,バグ,JANON;JVS_parallel100,4,3-5,jpf1;jpf2;jpm1;jpm2,JANON/audio/jpf1/isolated/jpf1_i5.wav;JANON/audio/jpf2/isolated/jpf2_i5.wav;JANON/audio/jpm1/isolated/jpm1_i5.wav;JANON/audio/jpm2/isolated/jpm2_i5.wav,chf1;enf1,sufficient_for_multi_reference
酸味,サンミ,JANON;JVS_parallel100,4,3-5,jpf1;jpf2;jpm1;jpm2,JANON/audio/jpf1/isolated/jpf1_i60.wav;JANON/audio/jpf2/isolated/jpf2_i60.wav;JANON/audio/jpm1/isolated/jpm1_i60.wav;JANON/audio/jpm2/isolated/jpm2_i60.wav,chf1;enf1,sufficient_for_multi_reference
