case_name,eval_path,mode,target_text,reference_speaker,user_speaker,prosody_score,pronunciation_score,fluency_score,total_score,pitch_target_source,pitch_target_reliability,content_match_status,content_verified,content_match_note,alignment_mode,f0_coverage,contour_corr,transition_agreement,accent_drop_match,final_intonation_score,notes,user_facing_status,display_score,practice_score_value,visible_prosody_score,prosody_score_visible,suppressed_reasons,tone_score_in_core_four,pair_id,utterance_id,target_kana,mora_count,reference_audio_path,user_audio_path,content_status,hl_match,component_contour,component_transition,component_hl,component_final,unavailable_reason
verified_jvs_sidecar_fixed_reference,evaluator,fixed_reference,また、東寺のように、五大明王と呼ばれる、主要な明王の中央に配されることも多い。,jvs001,jvs002,46,80,100,71,reference_audio_f0_cache,reliable,pass,True,acoustic_pass_asr_skipped_by_policy,cached_dtw_fallback_equal,0.9565,-0.1711,0.405,0.4444,75,test-only JVS cache with verified reference_audio_f0_cache sidecar,pass,,,,False,fallback_alignment;shadow_mode_user_facing_disabled;debug_only_by_profile;missing_or_invalid_threshold_metadata,no,,,,,,,,,,,,,
same_audio_text_openjtalk_evaluator_baseline,evaluator,text_openjtalk_baseline,また、東寺のように、五大明王と呼ばれる、主要な明王の中央に配されることも多い。,jvs001,jvs002,45,63,100,65,openjtalk_accent_phrase_chain,heuristic,unknown,False,no_sentence_cache_available_for_content_match,dtw,0.8696,-0.1724,0.496,0.3333,45,evaluator baseline without fixed reference cache; uses text/OpenJTalk target and no content gate,pass,89,89,,False,mode_not_allowed_by_profile;debug_only_by_profile;missing_or_invalid_threshold_metadata,no,,,,,,,,,,,,,
native_cross_speaker_reference_audio_f0_cache,semi_audio_lab_f0,native_cross_speaker_reference_audio_f0_cache,また、東寺のように、五大明王と呼ばれる、主要な明王の中央に配されることも多い。,jvs001,jvs002,91,,,,reference_audio_f0_cache,reliable,,,,lab_phone_mora,1.0,0.8822572511703829,0.9210526315789473,1.0,100,speaker B native F0 against speaker A verified reference F0,,,,,,,no,jvs001->jvs002:VOICEACTRESS100_001,VOICEACTRESS100_001,マタトージノヨーニゴダイミョーオートヨバレルシュヨーナミョーオーノチューオーニハイサレルコトモオーイ,46,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs002/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav,same_transcript_control,0.8913043478260869,0.8941575665981139,0.9210526315789473,0.8913043478260869,1.0,
flat_pitch_correct_content,semi_audio_lab_f0,flat_pitch_correct_content,また、東寺のように、五大明王と呼ばれる、主要な明王の中央に配されることも多い。,jvs001,jvs002,47,,,,reference_audio_f0_cache,reliable,,,,lab_phone_mora,1.0,0.0,0.33656509695290854,0.0,45,"same content/timing, flattened F0",,,,,,,no,jvs001->jvs002:VOICEACTRESS100_001,VOICEACTRESS100_001,マタトージノヨーニゴダイミョーオートヨバレルシュヨーナミョーオーノチューオーニハイサレルコトモオーイ,46,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs002/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav,same_transcript_control,0.5434782608695652,0.5319592011297252,0.33656509695290854,0.5434782608695652,0.45,
shuffled_random_pitch_correct_content,semi_audio_lab_f0,shuffled_random_pitch_correct_content,また、東寺のように、五大明王と呼ばれる、主要な明王の中央に配されることも多い。,jvs001,jvs002,60,,,,reference_audio_f0_cache,reliable,,,,lab_phone_mora,1.0,-0.04984592769487865,0.7257617728531855,1.0,100,"same content/timing, shuffled F0",,,,,,,no,jvs001->jvs002:VOICEACTRESS100_001,VOICEACTRESS100_001,マタトージノヨーニゴダイミョーオートヨバレルシュヨーナミョーオーノチューオーニハイサレルコトモオーイ,46,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs002/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav,same_transcript_control,0.45652173913043476,0.4779216883195076,0.7257617728531855,0.45652173913043476,1.0,
wrong_accent_drop_correct_content,semi_audio_lab_f0,wrong_accent_drop_correct_content,また、東寺のように、五大明王と呼ばれる、主要な明王の中央に配されることも多い。,jvs001,jvs002,85,,,,reference_audio_f0_cache,reliable,,,,lab_phone_mora,1.0,0.7930125435429656,0.7977839335180056,0.0,100,"same content/timing, accent-drop transition contradicted when available",,,,,,,no,jvs001->jvs002:VOICEACTRESS100_001,VOICEACTRESS100_001,マタトージノヨーニゴダイミョーオートヨバレルシュヨーナミョーオーノチューオーニハイサレルコトモオーイ,46,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs002/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav,same_transcript_control,0.8478260869565217,0.8450281234202,0.7977839335180056,0.8478260869565217,1.0,
low_f0_coverage_correct_content,semi_audio_lab_f0,low_f0_coverage_correct_content,また、東寺のように、五大明王と呼ばれる、主要な明王の中央に配されることも多い。,jvs001,jvs002,50,,,,reference_audio_f0_cache,reliable,,,,lab_phone_mora,0.0435,,,,,"same content/timing, insufficient F0 coverage",,,,,,,no,jvs001->jvs002:VOICEACTRESS100_001,VOICEACTRESS100_001,マタトージノヨーニゴダイミョーオートヨバレルシュヨーナミョーオーノチューオーニハイサレルコトモオーイ,46,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs002/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav,same_transcript_control,,,,,,insufficient_valid_mora_f0
