group,condition,v1_n,v1_mean,v1_p10,v1_p50,v1_p90,v1_at_floor,v1_at_ceiling,v2_n,v2_mean,v2_p10,v2_p50,v2_p90,v2_at_floor,v2_at_ceiling,accent_hint_n,accent_hint_mean,accent_hint_p10,accent_hint_p50,accent_hint_p90,unavailable_count,speaker_count
fresh_jvs_parallel100,flat,300,9.0,9.0,9.0,9.0,1.0,0.0,300,22.1267,21.0,22.0,23.0,0.0,0.0,300,58.6364,58.6364,58.6364,58.6364,0,30
fresh_jvs_parallel100,low_f0,0,,,,,,,0,,,,,,,0,,,,,300,30
fresh_jvs_parallel100,normal,300,89.92,81.0,92.0,95.0,0.0,0.0,300,89.54,80.0,92.0,97.0,0.0,0.0167,300,86.8496,79.7574,87.5926,93.4396,0,30
fresh_jvs_parallel100,shuffled,300,50.49,43.0,48.0,61.0,0.0,0.0,300,50.2267,43.0,49.0,58.1,0.0,0.0,300,85.9035,80.5208,86.236,91.848,0,30
fresh_jvs_parallel100,wrong_drop,300,84.9733,71.9,87.0,93.0,0.0,0.0,300,85.11,67.0,89.0,95.1,0.0,0.01,300,86.5582,79.8305,86.2404,93.2459,0,30
janon_learner_external,observed,1686,74.8238,48.0,80.0,94.0,0.0,0.0,1686,67.4543,37.0,73.0,86.0,0.0006,0.0,1686,81.1284,69.6774,81.6667,93.6857,6,24
janon_native_external,observed,284,80.7746,54.0,87.0,95.0,0.0,0.0,284,80.2887,61.0,85.0,93.0,0.0,0.0106,284,84.0135,73.8107,84.0411,94.6175,0,4
